symbol,long_venue,short_venue,hours,coverage_pct,mean_bps_h,median_bps_h,stdev_bps_h,same_sign_frac,longest_run_h,carry_24h_p10,carry_24h_p50,carry_24h_p90,carry_24h_hit_frac,carry_7d_p10,carry_7d_p50,carry_7d_p90,carry_7d_hit_frac,hours_to_hurdle,annualised_pct,basis_hours,basis_mean_bps,basis_std_bps,basis_7d_move_max,basis_7d_move_p90,edge_7d_bps,windows_7d,rankable,mean_funding_long,mean_funding_short
GOLD,ASTER,HL,1438,99.861111,0.040045,0.0625,0.12952,0.79694,246,-2.13005,1.486476,2.897747,0.00636,-17.553287,11.344157,15.009559,0.797797,149.832028,3.507928,1440,7.545313,4.410827,20.154874,9.543896,-8.816362,1271,True,0.048623,0.088668
HYPE,ASTER,HL,1438,99.861111,0.032572,0.0,0.140809,0.340056,48,-0.872337,0.42434,2.901186,0.0,-5.644338,6.530959,14.946844,0.512195,184.20978,2.853269,1440,3.976391,5.59577,22.159386,9.44528,-9.973258,1271,True,0.086626,0.119197
SOL,HL,LIGHTER,1440,100.0,0.002461,-0.005,0.122846,0.347917,22,-1.465479,-0.057037,1.26938,0.011291,-6.662421,1.087492,7.161704,0.115475,2437.831075,0.215601,1440,0.691666,2.402886,22.617189,5.226958,-10.813475,1273,True,0.07858,0.081042
GOLD,LIGHTER,HL,1440,100.0,0.02811,0.0225,0.096662,0.843056,297,-0.879121,0.54,2.629338,0.005646,-4.702529,4.528107,12.962195,0.368421,213.443565,2.462478,1440,6.481785,4.908266,25.625766,9.597474,-10.874914,1273,True,0.060521,0.088631
GOLD1,LIGHTER,HL,1440,100.0,0.02811,0.0225,0.096662,0.843056,297,-0.879121,0.54,2.629338,0.005646,-4.702529,4.528107,12.962195,0.368421,213.443565,2.462478,1440,6.481785,4.908266,25.625766,9.597474,-10.874914,1273,True,0.060521,0.088631
ETH,LIGHTER,HL,1440,100.0,0.009131,0.005,0.067396,0.808333,318,-1.050956,0.15,1.394019,0.0,-2.089006,1.267044,5.68,0.088767,657.08269,0.799899,1440,-1.066734,2.731236,18.049315,6.708295,-11.174242,1273,True,0.095035,0.104166
BTC,ASTER,LIGHTER,1434,99.583333,0.008035,0.008419,0.081902,0.541144,72,-1.230225,0.147162,1.41205,0.0,-5.012218,-0.168175,6.50792,0.130229,746.701612,0.703896,1440,-0.702882,2.888579,28.393711,6.925402,-11.575465,1267,True,0.069078,0.077113
SOL,LIGHTER,HL,1440,100.0,-0.002461,0.005,0.122846,0.347917,22,-1.26938,0.057037,1.465479,0.0,-7.161704,-1.087492,6.662421,0.139042,,-0.215601,1440,-0.691666,2.402886,22.617189,5.226958,-11.64044,1273,True,0.081042,0.07858
GOLD,ASTER,LIGHTER,1438,99.861111,0.011927,0.04,0.104656,0.782337,234,-2.15356,0.96,1.232,0.013428,-11.3386,6.4166,8.645,0.518489,503.078645,1.044767,1440,1.063273,3.775882,16.825602,8.570587,-12.566924,1271,True,0.048623,0.060549
HYPE,LIGHTER,ASTER,1438,99.861111,0.005221,0.005,0.121168,0.756606,176,-1.52654,0.12,1.9081,0.0,-7.1464,2.0004,7.9949,0.171518,1149.21248,0.457357,1440,-1.225062,3.416886,17.90851,7.753836,-12.876713,1271,True,0.081405,0.086626
